Price,Adj Close,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META,META
Date,,,,,,
2018-01-02,180.3084259033203,181.4199981689453,181.5800018310547,177.5500030517578,177.67999267578125,18151900
2018-01-03,183.53854370117188,184.6699981689453,184.77999877929688,181.3300018310547,181.8800048828125,16886600
2018-01-04,183.20062255859375,184.3300018310547,186.2100067138672,184.10000610351562,184.89999389648438,13880900
2018-01-05,185.70518493652344,186.85000610351562,186.89999389648438,184.92999267578125,185.58999633789062,13574500
2018-01-08,187.1264190673828,188.27999877929688,188.89999389648438,186.3300018310547,187.1999969482422,17994700
2018-01-09,186.71893310546875,187.8699951171875,188.8000030517578,187.10000610351562,188.6999969482422,12393100
2018-01-10,186.68910217285156,187.83999633789062,187.88999938964844,185.6300048828125,186.94000244140625,10529900
2018-01-11,186.6195526123047,187.77000427246094,188.39999389648438,187.3800048828125,188.39999389648438,9588600
2018-01-12,178.27099609375,179.3699951171875,181.47999572753906,177.39999389648438,178.05999755859375,77551300
2018-01-16,177.29701232910156,178.38999938964844,181.75,178.0399932861328,181.5,36183800
2018-01-17,176.51187133789062,177.60000610351562,179.32000732421875,175.8000030517578,179.25999450683594,27992400
2018-01-18,178.69837951660156,179.8000030517578,180.97999572753906,177.0800018310547,178.1300048828125,23304900
2018-01-19,180.17922973632812,181.2899932861328,182.3699951171875,180.1699981689453,180.85000610351562,26826500
2018-01-22,184.23423767089844,185.3699951171875,185.38999938964844,180.41000366210938,180.8000030517578,21059500
2018-01-23,188.18988037109375,189.35000610351562,189.5500030517578,185.5500030517578,186.0500030517578,25678800
2018-01-24,185.4070281982422,186.5500030517578,190.66000366210938,186.52000427246094,189.88999938964844,24334500
2018-01-25,186.331298828125,187.47999572753906,188.6199951171875,186.60000610351562,187.9499969482422,17377700
2018-01-26,188.83587646484375,190.0,190.0,186.80999755859375,187.75,17759200
2018-01-29,184.84051513671875,185.97999572753906,188.83999633789062,185.6300048828125,188.75,20453200
2018-01-30,185.97349548339844,187.1199951171875,188.17999267578125,181.83999633789062,187.6199951171875,20858600
2018-01-31,185.74493408203125,186.88999938964844,189.8300018310547,185.22000122070312,188.3699951171875,43275100
2018-02-01,191.90695190429688,193.08999633789062,195.32000732421875,187.88999938964844,188.22000122070312,54211300
2018-02-02,189.11416625976562,190.27999877929688,194.2100067138672,189.97999572753906,192.0399932861328,26677500
2018-02-05,180.14942932128906,181.25999450683594,190.61000061035156,180.61000061035156,186.92999267578125,33128200
2018-02-06,184.1746063232422,185.30999755859375,185.77000427246094,177.74000549316406,178.57000732421875,37758500
2018-02-07,179.0760498046875,180.17999267578125,185.0800018310547,179.9499969482422,184.14999389648438,27601900
2018-02-08,170.52874755859375,171.5800018310547,181.83999633789062,171.47999572753906,181.00999450683594,38478300
2018-02-09,175.03099060058594,176.11000061035156,176.89999389648438,167.17999267578125,174.75999450683594,39887600
2018-02-12,175.32913208007812,176.41000366210938,177.5500030517578,171.83999633789062,177.05999755859375,32092100
2018-02-13,172.089111328125,173.14999389648438,175.97000122070312,173.10000610351562,175.6199951171875,21809400
2018-02-14,178.42007446289062,179.52000427246094,179.80999755859375,173.2100067138672,173.4499969482422,28929700
2018-02-15,178.85740661621094,179.9600067138672,180.5,176.83999633789062,180.5,20922100
2018-02-16,176.27330017089844,177.36000061035156,179.8800048828125,176.3000030517578,178.99000549316406,20645300
2018-02-20,174.9315948486328,176.00999450683594,177.9499969482422,175.11000061035156,175.77000427246094,21204900
2018-02-21,176.8199462890625,177.91000366210938,181.27000427246094,176.39999389648438,176.7100067138672,23200800
2018-02-22,177.89332580566406,178.99000549316406,180.2100067138672,177.41000366210938,178.6999969482422,18464200
2018-02-23,182.1669921875,183.2899932861328,183.38999938964844,179.50999450683594,179.89999389648438,19007300
2018-02-26,183.7969512939453,184.92999267578125,185.66000366210938,183.22000122070312,184.5800018310547,17599700
2018-02-27,180.3482208251953,181.4600067138672,184.6999969482422,181.4600067138672,184.4499969482422,15849800
2018-02-28,177.2274627685547,178.32000732421875,182.8800048828125,178.13999938964844,182.3000030517578,18783000
2018-03-01,174.86203002929688,175.94000244140625,180.1199951171875,174.41000366210938,179.00999450683594,23201600
2018-03-02,175.537841796875,176.6199951171875,177.11000061035156,172.99000549316406,173.2899932861328,20025900
2018-03-05,179.29466247558594,180.39999389648438,181.14999389648438,175.88999938964844,176.1999969482422,16189300
2018-03-06,178.67849731445312,179.77999877929688,182.3800048828125,179.11000061035156,181.77999877929688,15086800
2018-03-07,182.5844268798828,183.7100067138672,183.82000732421875,178.07000732421875,178.74000549316406,19097300
2018-03-08,181.22280883789062,182.33999633789062,184.39999389648438,181.4499969482422,183.55999755859375,17225900
2018-03-09,184.09510803222656,185.22999572753906,185.50999450683594,183.2100067138672,183.91000366210938,18526300
2018-03-12,183.6279754638672,184.75999450683594,186.10000610351562,184.22000122070312,185.22999572753906,15301200
2018-03-13,180.765625,181.8800048828125,185.99000549316406,181.11000061035156,185.61000061035156,18067500
2018-03-14,183.06149291992188,184.19000244140625,184.25,181.85000610351562,182.60000610351562,16821700
2018-03-15,182.73348999023438,183.86000061035156,184.0,182.19000244140625,183.24000549316406,15614300
2018-03-16,183.95594787597656,185.08999633789062,185.3300018310547,183.41000366210938,184.49000549316406,24403400
2018-03-19,171.5027313232422,172.55999755859375,177.1699981689453,170.05999755859375,177.00999450683594,88140100
2018-03-20,167.11976623535156,168.14999389648438,170.1999969482422,161.9499969482422,167.47000122070312,129851800
2018-03-21,168.35215759277344,169.38999938964844,173.39999389648438,163.3000030517578,164.8000030517578,106598800
2018-03-22,163.8797149658203,164.88999938964844,170.27000427246094,163.72000122070312,166.1300048828125,73743000
2018-03-23,158.41343688964844,159.38999938964844,166.60000610351562,159.02000427246094,165.44000244140625,53609700
2018-03-26,159.07931518554688,160.05999755859375,161.10000610351562,149.02000427246094,160.82000732421875,126116600
2018-03-27,151.28736877441406,152.22000122070312,162.85000610351562,150.75,156.30999755859375,79117000
2018-03-28,152.09239196777344,153.02999877929688,155.8800048828125,150.8000030517578,151.64999389648438,60029200
2018-03-29,158.81097412109375,159.7899932861328,161.4199981689453,154.13999938964844,155.14999389648438,59434300
2018-04-02,154.4379425048828,155.38999938964844,159.1999969482422,154.11000061035156,157.80999755859375,36796000
2018-04-03,155.15353393554688,156.11000061035156,157.38999938964844,150.80999755859375,156.5500030517578,42543900
2018-04-04,154.1497039794922,155.10000610351562,155.55999755859375,150.50999450683594,152.02999877929688,49885600
2018-04-05,158.36373901367188,159.33999633789062,161.57000732421875,156.64999389648438,161.55999755859375,41449600
2018-04-06,156.23683166503906,157.1999969482422,161.4199981689453,156.80999755859375,157.72999572753906,41644800
2018-04-09,156.96237182617188,157.92999267578125,160.52999877929688,156.0399932861328,157.82000732421875,34915200
2018-04-10,164.02877807617188,165.0399932861328,165.97999572753906,157.00999450683594,157.92999267578125,57889300
2018-04-11,165.3009796142578,166.32000732421875,168.64999389648438,163.25,165.36000061035156,56144600
2018-04-12,162.865966796875,163.8699951171875,167.4499969482422,163.10000610351562,166.97999572753906,38263000
2018-04-13,163.51199340820312,164.52000427246094,165.6999969482422,163.77000427246094,164.5800018310547,19990600
2018-04-16,163.82009887695312,164.8300018310547,165.77999877929688,163.38999938964844,165.72000122070312,18119400
2018-04-17,167.62664794921875,168.66000366210938,169.0,165.66000366210938,165.8300018310547,22743000
2018-04-18,165.34072875976562,166.36000061035156,168.1199951171875,165.77000427246094,166.8800048828125,20969600
2018-04-19,167.07005310058594,168.10000610351562,168.3300018310547,165.1999969482422,166.1999969482422,22235000
2018-04-20,165.26121520996094,166.27999877929688,168.42999267578125,165.80999755859375,167.7899932861328,19119400
2018-04-23,164.82391357421875,165.83999633789062,168.4499969482422,165.08999633789062,167.27000427246094,23088100
2018-04-24,158.7115936279297,159.69000244140625,166.10000610351562,158.19000244140625,165.42999267578125,35079900
2018-04-25,158.7115936279297,159.69000244140625,161.05999755859375,156.19000244140625,160.13999938964844,41083600
2018-04-26,173.0929412841797,174.16000366210938,176.27000427246094,170.8000030517578,173.22000122070312,77556900
2018-04-27,172.52642822265625,173.58999633789062,177.10000610351562,172.60000610351562,176.80999755859375,29804700
2018-04-30,170.94618225097656,172.0,175.72000122070312,171.7100067138672,173.7899932861328,20750500
2018-05-01,172.79478454589844,173.86000061035156,174.02000427246094,170.22999572753906,172.0,26025900
2018-05-02,174.99122619628906,176.07000732421875,178.0800018310547,174.1999969482422,174.25,30424500
2018-05-03,172.9537811279297,174.02000427246094,176.1199951171875,172.1199951171875,175.1300048828125,24026100
2018-05-04,175.52793884277344,176.61000061035156,176.97999572753906,173.05999755859375,173.0800018310547,17677800
2018-05-07,176.8795928955078,177.97000122070312,179.5,177.1699981689453,177.35000610351562,18697200
2018-05-08,177.82376098632812,178.9199981689453,179.0399932861328,177.11000061035156,178.25,15577200
2018-05-09,181.5408477783203,182.66000366210938,183.00999450683594,178.77999877929688,179.6699981689453,23282800
2018-05-10,184.39328002929688,185.52999877929688,186.1300048828125,182.5,183.14999389648438,21071400
2018-05-11,185.84432983398438,186.99000549316406,188.32000732421875,184.17999267578125,184.85000610351562,21207800
2018-05-14,185.4964599609375,186.63999938964844,187.86000061035156,186.1999969482422,187.7100067138672,15646700
